"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"Pace University","NY",0.79,530,575,620,520,565,610,0.2783,0.5079,8200,0.3754,0.6246,0.49,0.1013,0.1411,0.0751,0.0784,0.2941176471,47896,0.0046,12300,0,0.0246,0.002,0.0148,0.0542,0.0174,0.0097,0.001,0,0,0.0604,0,0,0.0036,0.0542,0.1377,0.2927,1,193048642,800,19148
"West Texas A & M University","TX",0.69,470,525,580,470,515,560,0.3808,0.47,7300,0.4219,0.5781,0.5538,0.0491,0.3106,0.0161,0.2141,0.39375,8431,0.0082,7900,0.0481,0.0364,0.0111,0.0868,0.0352,0.0106,0,0.0029,0,0,0.0111,0,0.0909,0.0106,0.017,0.1261,0.1848,0.7629,91140754,1000,7496
"Southern Virginia University","VA",0.98,477,545,612,487,539,590,0.4897,0.6002,1100,0.4715,0.5285,0.7443,0.0352,0.0542,0.0048,0.1404,0.1714285714,16760,0,5800,0,0.1409,0,0.1342,0.0671,0.1074,0,0.0336,0,0,0.0604,0,0,0.047,0,0,0.2416,1,1406300,1500,7918
"University of New Hampshire-Main Campus","NH",0.84,540,590,640,530,580,630,0.2125,0.6293,12100,0.4445,0.5555,0.8262,0.0107,0.0354,0.0283,0.0262,0.174486235,35189,0.0116,11200,0.1052,0.0898,0.0135,6e-04,0.0625,0.0317,0.0028,0.0104,0,0,0.0239,0.0025,0.0289,0.0122,0.0729,0.0691,0.2161,0.7641,407225795,1000,11942
"New College of Florida","FL",0.73,620,660,700,560,610,660,0.3082,0.3181,700,0.3746,0.6254,0.6895,0.0299,0.1795,0.0342,0.0299,0.2093862816,30154,0,8500,0,0,0,0.4742,0,0,0,0.0845,0,0,0,0,0,0,0,0,0,0.875,46407546,1200,9529
"McMurry University","TX",0.45,470,515,560,470,505,540,0.484,0.6879,1100,0.4823,0.5177,0.477,0.1427,0.2837,0.0089,0.2256,0.3742038217,27559,0,6600,0,0.06,0.04,0,0.0933,0.0067,0.1667,0,0,0,0.0133,0,0,0.0133,0.1133,0.0333,0.2533,0.9889,93811703,1200,8820
"Saint Mary's College of California","CA",0.81,540,585,630,520,565,610,0.2454,0.6801,2600,0.4347,0.5653,0.4183,0.0403,0.2804,0.1132,0.0771,0.2552083333,46178,0.02,10600,0.0077,0.0692,0.0031,0.0892,0.1108,0.0462,0,0.0092,0,0,0,0,0,0.0154,0.0877,0.0308,0.2738,0.2379,181312578,1971,15524
"Brenau University","GA",0.58,470,525,580,450,505,560,0.52,0.6881,1700,0.0911,0.9089,0.4554,0.287,0.1144,0.0204,0.439,0.4032411821,28904,0,7200,0,0.0351,0,0.0456,0.0632,0.0526,0.1965,0,0.007,0,0,0,0,0.0105,0,0.2561,0.1965,0.5123,49482308,1300,12500
"Princeton University","NJ",0.06,710,740,770,750,775,800,0.192,0.0341,5300,0.503,0.497,0.4024,0.0789,0.1064,0.2231,0.007,0.2773972603,55790,0.027,20700,0.1681,0.1087,0.0563,0,0.0278,0.0308,0,0.0439,0,0,0.1126,0.0062,0,0.0509,0.2113,0,0,0.835,25623628250,1050,17150
"Tougaloo College","MS",0.71,380,440,500,360,425,490,0.9077,0.77,700,0.3485,0.6515,0.0014,0.9758,0.0028,0,0.0777,0.2978208232,8621,0.0265,4800,0,0.115,0.0354,0,0.0708,0.0619,0.0088,0,0,0,0.0177,0,0,0.0708,0.3274,0,0,0.7407,17609995,1400,6400
